emp_no,first_name,last_name,title,salary
10974,Muneo,Papsdorf,Senior Engineer,56005
10985,Chiradeep,Furedi,Engineer,40000
10986,Masako,Schiper,Technique Leader,43900
10988,Chinya,Deyuan,Senior Engineer,54174
10996,Matk,Rahimi,Senior Staff,43564
11004,JoAnna,Decleir,Senior Engineer,40226
11019,Leon,Huttel,Senior Engineer,69387
11021,Srinidhi,Henders,Staff,62670
11027,Remzi,Cappello,Senior Engineer,40000
11032,Erez,Schaaf,Staff,40000
11042,Gou,Breugel,Senior Engineer,40000
11048,Jaques,Demke,Senior Staff,65697
11050,Elvis,Katiyar,Senior Staff,52251
11051,Przemyslawa,Erol,Senior Engineer,40000
11060,Genevieve,Pokrovskii,Staff,57435
11061,Pintsang,Erni,Senior Staff,81257
11064,Shawna,Vieri,Senior Engineer,48411
11070,Adib,Raney,Senior Engineer,40000
11071,Kwan,Sigstam,Senior Engineer,40000
11075,Karsten,Belinskaya,Senior Engineer,76877
11079,Piyush,Garigliano,Senior Engineer,46239
11081,Barry,Boyle,Senior Staff,65686
11083,Shimshon,Ducloy,Senior Staff,90972
11085,Hailing,Thummel,Senior Engineer,66437
11089,Conal,Henders,Senior Staff,41004
11091,Souichi,Ramsay,Engineer,76253
11092,Narain,Stamatiou,Staff,78588
11098,Arnd,Covnot,Engineer,40000
11106,Aris,Iwayama,Senior Engineer,71446
11110,Valeska,Birjandi,Staff,43063
11113,Shahab,Peng,Senior Staff,66401
11119,Ramzi,Luga,Engineer,40000
11121,Vugranam,Kakkad,Senior Engineer,40000
11133,Nalini,Azulay,Technique Leader,40000
11144,Carrsten,Heinisuo,Senior Staff,56144
11145,Jinxi,Baak,Engineer,50480
11147,Ayonca,Nitsch,Engineer,40000
11148,Zhanqiu,Botman,Senior Staff,56344
11162,Kauko,Narlikar,Senior Engineer,69873
11170,Minghong,Cannard,Senior Engineer,44531
11186,Kshitij,Stasinski,Senior Engineer,40000
11189,Dante,Bodoff,Senior Staff,71798
11192,Apostol,Bahr,Engineer,40000
11206,Steen,Sury,Staff,68802
11207,Saeed,Gips,Engineer,49728
11211,Yurij,Rissland,Senior Engineer,72668
11218,Kirk,Hemaspaandra,Technique Leader,40000
11229,Gretta,Ramamoorthy,Senior Engineer,48214
11240,Kiam,Condotta,Engineer,61739
11243,Udi,Desikan,Assistant Engineer,47598
11251,Bezalel,Chinal,Senior Staff,69432
11254,Danel,Rindone,Staff,50562
11275,Hitomi,Eppinger,Senior Engineer,58382
11288,Domenico,Eastman,Senior Staff,60782
11289,Chuanti,Cherinka,Senior Engineer,40000
11294,Tru,Segond,Senior Engineer,43768
11295,Abdelkader,Lanzelotte,Senior Staff,66622
11296,Hironobu,Kenevan,Senior Engineer,40000
11297,Geraldo,Levergood,Engineer,40000
11300,Lillian,Fontet,Engineer,44380
11301,Mingzeng,Oxenboll,Senior Staff,40000
11302,Shem,Senzako,Staff,52934
11315,Neven,Meriste,Staff,84316
11317,Shigeaki,Hagimont,Senior Staff,40000
11320,Atilio,McAlpine,Senior Staff,45118
11324,Kauko,Billingsley,Senior Engineer,54288
11325,Samphel,Rossi,Engineer,62458
11326,Munenori,Plesums,Senior Engineer,40000
11338,Kwangsub,Hanratty,Senior Staff,82210
11339,Flemming,Massonet,Senior Engineer,40000
11343,Susanne,Erez,Senior Engineer,43306
11347,Anneli,Jonsson,Senior Engineer,41524
11349,Yurii,Hammerschmidt,Engineer,46356
11360,Fen,Schach,Senior Staff,63466
11365,Toshimi,Shinomoto,Engineer,56463
11373,Yongmao,Keohane,Senior Staff,45912
11380,Kenroku,Pelc,Senior Engineer,53345
11386,Alselm,Assaf,Senior Engineer,47726
11387,Jordanka,Kalloufi,Engineer,41824
11396,Anneke,Servieres,Engineer,48918
11398,Oscar,Peir,Senior Staff,44625
11401,Huan,Merey,Staff,52021
11406,Eberhardt,Gini,Senior Staff,71834
11415,Sanjiv,Anido,Engineer,40000
11417,Anneli,Cyne,Technique Leader,74114
11418,Satosi,Cooley,Senior Staff,40000
11420,Tsutomu,Lalonde,Senior Staff,40000
11421,Josyula,Msuda,Senior Engineer,52416
11423,Guangming,Kopetz,Staff,43947
11425,Renee,Crelier,Senior Engineer,40000
11428,Remco,Reinhart,Engineer,40000
11451,Eben,Rajaraman,Senior Engineer,61848
11469,Guttorm,Giaccio,Senior Engineer,44625
11477,Fox,Narahari,Engineer,40000
11479,Shridhar,Pleszkun,Staff,78157
11515,Ulf,Basawa,Staff,70182
11518,Jinxi,Oxman,Senior Staff,40000
11523,Yuguang,Pezzoli,Engineer,64203
11526,Tonny,Impagliazzo,Senior Staff,67591
11527,Alagu,Boyle,Staff,60212
11533,Vitaly,Lorch,Technique Leader,40000
11537,DAIDA,Pehl,Senior Staff,96023
11554,Subhash,Taubenfeld,Staff,46065
11555,Kotesh,Perfilyeva,Senior Staff,40000
11562,Rimli,Alencar,Engineer,82255
11567,Teiji,Mitzlaff,Senior Staff,86261
11573,Pranas,Hutton,Senior Engineer,46194
11581,Patricio,Rosenbaum,Senior Engineer,46950
11587,Shem,Zambonelli,Senior Engineer,40000
11588,Kaijung,Panangaden,Senior Staff,40000
11595,Takanari,Kamber,Senior Staff,68224
11596,Yannik,Gunderson,Staff,54076
11597,Yongdong,Talmon,Senior Engineer,43205
11602,Somnath,Malabarba,Senior Staff,58575
11603,Herb,Swen,Senior Staff,69180
11607,Tomokazu,Foong,Engineer,49584
11615,Shem,Isaak,Senior Staff,46591
11616,Zhilian,Brendel,Engineer,41900
11624,Adil,Gammage,Senior Engineer,42001
11628,Fan,Malinowski,Senior Engineer,43966
11649,Shen,Bernardinello,Technique Leader,40000
11664,Oksana,Brizzi,Senior Staff,70380
11673,Henk,Felder,Technique Leader,40000
11681,Fumitake,Benzmuller,Senior Engineer,40000
11684,Oksana,Gide,Senior Staff,68753
11693,Hideo,Coorg,Senior Engineer,70403
11732,Sanjoy,Ranft,Senior Engineer,40000
11737,Martina,Garnier,Assistant Engineer,48832
11747,Aksel,Kossowski,Senior Staff,90239
11748,Lihong,Massonet,Engineer,54491
11755,Zhenbing,Karner,Senior Staff,56874
11756,Abdelwaheb,Vakili,Engineer,59493
11764,Sanjay,Anick,Senior Engineer,64875
11765,Zorica,Junet,Senior Staff,40000
11770,Arumugam,Jakobus,Senior Engineer,40000
11772,Gaurav,Penz,Engineer,61295
11774,Aron,Wroclawski,Engineer,40000
11778,Dhritiman,Fontan,Senior Engineer,40000
11779,Shunichi,Thombley,Staff,40000
11791,Gal,Mamelak,Senior Engineer,40000
11797,Chenxi,Thambidurai,Senior Staff,88050
11801,Tommaso,Dayang,Senior Staff,67265
11805,Rosine,Grandbois,Assistant Engineer,40000
11810,Amabile,Bhattacharjee,Senior Engineer,41256
11814,Manohar,Shinomoto,Staff,40000
11817,Niranjan,Markovitch,Senior Staff,50638
11823,Weiyi,Iacovou,Senior Engineer,72637
11832,Arto,Zlotek,Engineer,40000
11841,Elvia,Bugrara,Staff,90296
11844,Shawna,Demeyer,Senior Engineer,78049
11853,Zeljko,Kusakabe,Senior Staff,61941
11857,Divier,Farrag,Senior Staff,94805
11868,Kwee,Demke,Engineer,48349
11872,Cheong,Riexinger,Senior Staff,43159
11881,Arra,Staelin,Senior Staff,76541
11894,Mitchel,Validov,Senior Engineer,56198
11896,Shaunak,Benzmuller,Technique Leader,40000
11897,Cordelia,Setlzner,Senior Staff,80049
11917,Jiakeng,VanScheik,Engineer,40000
11926,Leni,Felcyn,Engineer,41612
11933,Basil,Erman,Senior Engineer,56130
11938,Aruna,Verspoor,Staff,40000
11939,Chinhyun,Basart,Technique Leader,64815
11945,Limsoon,Marakhovsky,Staff,53056
11948,Yahiko,Nergos,Senior Engineer,49929
11972,Sibyl,Beausoleil,Senior Staff,52908
11983,Jaana,Hedayat,Senior Engineer,40000
11987,Vidya,Schaar,Senior Staff,40000
11988,Chinya,Chinin,Senior Engineer,57652
11989,Erzsebet,Peltason,Technique Leader,40000
11993,Marit,Dalphin,Senior Staff,56505
11997,Heon,Mawatari,Staff,40000
12015,Kensei,Guenter,Staff,42853
12021,Chikara,Rahimi,Senior Engineer,40000
12024,Mayumi,Lanzelotte,Staff,65580
12033,Visit,Serot,Engineer,49992
12034,Aemilian,Piazza,Staff,40148
12036,Mads,Ratzlaff,Senior Staff,67143
12037,Arunas,Katzenelson,Senior Staff,47805
12040,Bluma,Kermarrec,Senior Staff,64813
12044,Rance,Hemaspaandra,Senior Engineer,40000
12047,Jordanka,Ligten,Assistant Engineer,52051
12052,Masako,Khasidashvili,Technique Leader,40000
12062,Margareta,Worfolk,Senior Staff,44199
12069,Ayonca,Burnard,Senior Engineer,51928
12080,Panayotis,Feinberg,Senior Staff,47946
12087,Weijing,Jumpertz,Engineer,45432
12089,Bilhanan,Socorro,Senior Staff,46288
12090,Shigenori,Angelopoulos,Engineer,46269
12093,Evgueni,Oxenboll,Senior Engineer,40000
12094,Weiru,Pearson,Senior Staff,44788
12095,Fai,Smeets,Senior Engineer,57978
12099,Nobuyoshi,Kuzuoka,Senior Staff,104610
12104,Dulce,Kohling,Senior Engineer,43465
12112,Satyanarayana,Avouris,Senior Staff,76538
12123,Xiahua,Syrzycki,Senior Staff,64879
12128,Yannik,Barreiro,Staff,81527
12148,Hidde,Garigliano,Assistant Engineer,42040
12159,Shem,Perly,Senior Engineer,61210
12164,Muneo,Chachaty,Engineer,43366
12165,Xiaobin,Maquelin,Senior Engineer,41951
12168,Arnd,Salverda,Senior Staff,40000
12183,Harngdar,Iisaku,Engineer,40000
12190,Abdulah,Engberts,Senior Engineer,40000
12191,Rosella,Bazzichi,Engineer,45307
12205,Sushant,Rossi,Senior Engineer,40000
12206,Barton,Janetzko,Senior Engineer,40000
12210,Vugranam,Ashish,Senior Staff,40000
12216,Aloke,Mansanne,Engineer,40000
12219,Junsik,Gadepally,Senior Staff,57507
12221,Vincent,Melter,Senior Engineer,56736
12222,Abdelwaheb,Holburn,Senior Staff,55840
12230,Yuriy,Bellone,Engineer,53692
12235,Honesty,Haumacher,Staff,100755
12242,Satoru,Wolniewicz,Engineer,46911
12249,Eldridge,Sadowski,Senior Engineer,70099
12256,Guadalupe,Reghbati,Senior Staff,40000
12258,Kankanahalli,Eiter,Senior Engineer,40748
12273,Jaideep,Uehara,Senior Staff,90736
12274,Garnik,Papadias,Engineer,40000
12276,Yongmin,Lenart,Senior Engineer,59844
12291,Masamitsu,Koyama,Senior Staff,67506
12298,Tetsurou,Rodham,Senior Engineer,62015
12308,Mototsugu,Cronau,Senior Staff,58741
12316,Hyuncheol,Duclos,Engineer,46261
12335,Arnould,Genin,Senior Staff,40000
12338,Kagan,Besselaar,Staff,46270
12341,Rasiah,Luga,Senior Engineer,40000
12345,Xuedong,Mellouli,Senior Engineer,42222
12355,Vidar,Hutton,Senior Engineer,70724
12366,Patricio,Setlzner,Staff,40000
12368,Gor,Dechter,Senior Staff,45415
12373,Mooi,Driscoll,Senior Staff,75986
12380,Menkae,Farrow,Staff,40000
12381,Amalendu,Klerer,Senior Staff,42211
12388,Arumugam,Hebert,Senior Engineer,40000
12394,Stevo,Reeken,Engineer,40000
12407,Jianwen,Brodie,Engineer,40000
12415,Uri,Sluis,Staff,53615
12421,Toshimi,Gulik,Senior Engineer,52691
12422,Berhard,Demos,Senior Staff,71376
12426,Shahaf,Valtorta,Technique Leader,40000
12438,Yongmao,Mondadori,Senior Staff,109440
12450,Sanjeeva,Perng,Senior Engineer,40000
12454,Kerryn,Farris,Staff,41347
12468,Ioana,Baezner,Staff,41627
12480,Tetsushi,Schade,Staff,62415
12488,Etsuo,Gerteisen,Senior Engineer,40000
12492,Kristinn,Hammerschmidt,Senior Engineer,59589
12493,Filipp,Menhardt,Senior Engineer,40000
12497,Stein,Penz,Senior Staff,81191
12502,Danil,VanScheik,Senior Engineer,40000
12504,Adly,Rosaz,Engineer,40000
12505,Barton,Goldhammer,Senior Staff,40423
12506,Gay,Rodite,Engineer,50229
12509,Rutger,Krzyzanowski,Senior Staff,40000
12514,Tomofumi,Melter,Engineer,54241
12515,Pranav,Wilharm,Senior Engineer,50655
12520,Goetz,Basart,Engineer,40000
12522,Trygve,Zhang,Technique Leader,47733
12524,Tetsushi,Demeyer,Engineer,42824
12528,Conor,Cincotta,Senior Staff,40000
12537,Avishai,Gonthier,Senior Staff,85107
12540,Poornachandra,Bresenham,Senior Staff,40000
12541,Shih,Nanard,Senior Staff,93105
12542,Kazuhide,Bouloucos,Senior Staff,44176
12552,Mechthild,Zongker,Staff,91393
12555,Spyrose,DuCasse,Assistant Engineer,68051
12557,Stafford,Kopetz,Senior Engineer,41840
12574,Mong,Gelosh,Engineer,66284
12586,Oguz,Tasistro,Senior Engineer,50972
12612,Chandrasekaran,Thimonier,Staff,92187
12626,Gill,Comyn,Senior Engineer,61375
12636,Yuuichi,Debuse,Senior Staff,40000
12637,Poorav,Karner,Senior Staff,44370
12639,Zeljko,Schapire,Senior Engineer,40000
12642,Suebskul,Gips,Senior Staff,68271
12645,Kyoichi,Decaestecker,Staff,63135
12651,Pragnesh,Bael,Senior Staff,75150
12662,Leucio,Alvarado,Engineer,69016
12664,Zhonghua,Parveen,Staff,40000
12665,Amalendu,Lanphier,Staff,68848
12666,Stamatina,Prenel,Engineer,40000
12672,Mayumi,Varman,Senior Engineer,54041
12678,Carrsten,Borovoy,Engineer,44529
12680,Bader,Staudhammer,Staff,46321
12687,Weicheng,Badache,Staff,78376
12689,Luerbio,Boudaillier,Senior Engineer,59689
12717,Tzu,Jiafu,Staff,53194
12722,Elliott,Cheshire,Senior Staff,62325
12729,Nahla,Rahier,Senior Engineer,51796
12730,Barry,Perl,Technique Leader,40000
12731,Yongmao,Waymire,Senior Staff,40000
12746,Heekeun,Lunn,Senior Engineer,63044
12747,Salvador,Atrawala,Technique Leader,40000
12748,Berry,Kakkar,Engineer,40000
12753,Kazuhito,Syrotiuk,Senior Engineer,47071
12754,Ronnie,Tetzlaff,Senior Engineer,56137
12758,Hauke,Pashtan,Staff,51525
12759,LiMin,Kuszyk,Senior Staff,49963
12773,Jenwei,Lovengreen,Senior Engineer,65556
12774,Moon,Asrin,Engineer,40000
12775,Mariangiola,Berendt,Engineer,69805
12785,Bouchung,Armand,Senior Engineer,68680
12796,Saniya,Stanfel,Senior Engineer,40000
12798,Lillian,Beeson,Senior Staff,81145
12799,Tiina,Businaro,Senior Staff,42816
12807,Gretta,Babb,Senior Engineer,48331
12810,Kristof,Staelin,Technique Leader,46737
12819,Mountaz,Gubsky,Senior Engineer,48455
12825,Sakthirel,Cannata,Senior Engineer,40000
12840,Zhensheng,Ferretti,Engineer,40000
12843,Yinlin,Heijenga,Senior Engineer,40000
12846,Krisda,Cyne,Senior Staff,63962
12853,Mang,Brobst,Senior Staff,47160
12855,Mabhin,Murrill,Senior Staff,40000
12857,Alagu,Gils,Senior Engineer,52646
12865,Katsuyuki,Rothe,Senior Staff,64679
12868,Berthier,Nanard,Senior Engineer,40000
12879,Baruch,Eugenio,Senior Engineer,40000
12881,Huai,Yurek,Staff,66390
12889,Mayumi,Mukaidono,Engineer,58901
12893,Licheng,Crouzet,Senior Staff,50803
12899,Chinho,Sethi,Senior Staff,40000
12905,Munehiro,Gecsei,Senior Engineer,58659
12915,Arco,Ligten,Senior Staff,55723
12922,Jacqueline,Porenta,Senior Staff,69441
12926,Heekeun,Luby,Senior Staff,68314
12934,Adil,Solares,Senior Engineer,47274
12936,Reinhold,Farrow,Technique Leader,64450
12937,Arup,Cincotta,Staff,59206
12940,Odinaldo,Farrar,Senior Engineer,49760
12941,Tommaso,Perelgut,Senior Engineer,67069
12944,Alselm,Benzmuller,Senior Staff,40000
12951,Mohammad,Keirsey,Senior Staff,60566
12960,Tayeb,Navazio,Engineer,40000
12969,Mohan,Angot,Senior Staff,59876
12972,Juyoung,Azevdeo,Staff,40000
12981,Maren,Merro,Engineer,40000
12983,Elliott,Hambrick,Staff,57252
12984,Atilio,Krohm,Engineer,40000
12986,Khun,Hennebert,Senior Engineer,50021
12987,Youngkon,Kading,Senior Engineer,56823
13000,Adhemar,Chiodo,Engineer,40000
13008,Jayesh,Zaumen,Engineer,40000
13011,Aamer,Glowinski,Technique Leader,51216
13013,Heekeun,Baak,Engineer,40000
13027,Paraskevi,Kohling,Technique Leader,65940
13030,Yahiko,Kroll,Senior Staff,51770
13034,Arunas,Rosen,Senior Staff,77736
13047,Atilio,Chelton,Senior Engineer,52323
13062,Xinglin,Baak,Technique Leader,55665
13075,Rosella,Morrin,Senior Staff,40000
13076,Deniz,Skafidas,Engineer,50582
13096,Ibibia,Armand,Senior Engineer,52544
13110,Maria,Kamble,Senior Engineer,57941
13124,Quingbo,Garnick,Senior Staff,73785
13126,Parviz,Hennebert,Senior Engineer,40000
13133,Guther,Senzako,Senior Staff,67777
13144,Persi,Nollmann,Senior Staff,52825
13147,Shichao,Ginesta,Senior Staff,77429
13150,Mahmut,Stavenow,Technique Leader,40000
13156,Akeel,Millington,Senior Engineer,48285
13159,Jingling,Ranst,Staff,54536
13161,Manu,Picci,Senior Engineer,49733
13165,Lucian,Benner,Senior Engineer,42796
13175,Yucai,Swick,Senior Engineer,65572
13192,Rosita,Flowers,Technique Leader,43986
13202,Aram,Scharstein,Senior Staff,51915
13204,Mircea,Pellegrinelli,Assistant Engineer,45177
13206,Tetsurou,Rullman,Staff,44383
13216,Stabislas,Weedman,Staff,40000
13227,Goncalo,Pell,Staff,88669
13233,Alselm,Chvatal,Senior Engineer,49414
13235,Taizo,Remmers,Engineer,57427
13240,King,Pileggi,Senior Engineer,49018
13243,Fay,Huxford,Staff,67269
13248,Keiichiro,Guting,Staff,72379
13260,JoAnna,McDermid,Technique Leader,40000
13272,Arun,Jiang,Senior Staff,40000
13276,Yechiam,Seuren,Senior Staff,65836
13288,Muneo,Broomell,Senior Staff,40000
13302,Mack,Alencar,Senior Engineer,40000
13305,Bikash,Herath,Senior Staff,104969
13315,Sakthirel,Stroustrup,Senior Engineer,40000
13333,Yoshinari,Hennebert,Engineer,50997
13343,Heon,Usery,Senior Staff,40000
13347,Lein,Sifakis,Senior Engineer,79839
13357,Mabry,Llado,Engineer,40000
13359,Pragnesh,Kragelund,Senior Engineer,62189
13361,Wilmer,Baek,Staff,40000
13371,Nakhoon,Riexinger,Senior Engineer,40000
13373,Juichirou,Naumovich,Senior Staff,82749
13374,Atreye,Kalefeld,Senior Engineer,40000
13379,Kinh,Engelmann,Senior Staff,52620
13385,Claudi,Buchter,Senior Staff,40000
13388,Shuji,Cesareni,Technique Leader,52597
13389,Divine,Cmelik,Senior Staff,40000
13392,Fumitake,Beidas,Senior Staff,69221
13394,Anneke,Lorys,Senior Staff,44631
13396,Chuanyi,Aumann,Senior Staff,40000
13402,Augustine,Dulli,Engineer,40000
13407,Gio,Chenoweth,Senior Engineer,60348
13408,Sreekrishna,Lagarias,Senior Engineer,52479
13412,Ranga,Erdmenger,Staff,56217
13417,Dipayan,Condotta,Senior Staff,53074
13439,Domenick,Ullian,Engineer,49283
13442,Giordano,Miake,Senior Staff,40000
13443,Mayuko,Puppo,Senior Engineer,40000
13445,Renee,Dehkordi,Engineer,53194
13460,Yinghua,Gips,Senior Engineer,40000
13472,Dzung,Larfeldt,Engineer,40000
13500,Irene,Erol,Senior Engineer,57581
13504,Parto,Mandell,Engineer,41895
13505,Chandrasekaran,Hambrick,Staff,46130
13523,Dines,Karunanithi,Staff,45333
13524,Chaoyi,Porotnikoff,Senior Staff,52849
13544,Beshir,Sullins,Senior Staff,91559
13546,Aimee,Brookner,Senior Engineer,50295
13549,Matk,Koprowski,Technique Leader,40000
13552,Ingmar,Capobianchi,Senior Staff,73346
13554,Divine,Birke,Senior Staff,49930
13560,Sibyl,Jeong,Engineer,40000
13576,Jungsoon,Engberts,Senior Staff,73022
13586,Abdelwaheb,Klassen,Senior Engineer,40000
13591,Jinxi,Poulakidas,Assistant Engineer,40000
13596,Georg,Marletta,Senior Engineer,57320
13598,Subhrajyoti,Barvinok,Engineer,76264
13600,Baocai,Babu,Staff,40000
13612,Shao,Mansanne,Engineer,40000
13624,Zhigen,Yurek,Senior Staff,40000
13630,Uzi,Kilgour,Engineer,40000
13648,Zejun,Lamba,Technique Leader,47723
13653,Kristen,Iivonen,Senior Staff,53242
13660,Ziya,McConalogue,Staff,50907
13662,Tianruo,Zucker,Senior Staff,66158
13683,Zhilian,Vakili,Senior Engineer,40000
13684,Elvia,Christ,Senior Staff,79100
13713,Nitsan,Porenta,Senior Staff,56608
13721,Sugwoo,Delgrossi,Senior Staff,64754
13744,Hisao,Quittner,Senior Engineer,58206
13747,Masaru,Capobianchi,Senior Staff,47752
13762,Fumino,Choobineh,Senior Staff,88048
13769,Yakichi,Trogemann,Senior Staff,61025
13792,Valery,Sury,Senior Staff,59127
13796,Paloma,Thorelli,Engineer,50962
13799,Chriss,Backhouse,Technique Leader,40000
13800,Nikolaus,Gammage,Technique Leader,40000
13801,Shih,Mayerwieser,Staff,64182
13807,Lenore,Itzigehl,Staff,64287
13815,Guadalupe,Plotkin,Senior Engineer,40000
13825,Arlette,Pell,Technique Leader,54704
13842,Juichirou,Cichocki,Senior Staff,40000
13856,Xiping,Conta,Senior Staff,77934
